	AfumigatusA1163.aa	AfumigatusAf293.aa	CneoformansH99.aa	Foxysporum4287.aa	Moryzae70-15.aa	NcrassaOR74A.aa	Spombe972h.aa	Umaydis521.aa	YlipolyticaCLIB122.aa	Total
OG0000325	1	1	3	10	3	2	0	0	0	20
OG0000326	1	1	1	12	1	1	1	1	1	20
OG0000327	0	0	20	0	0	0	0	0	0	20
OG0000328	0	0	0	8	2	3	0	7	0	20
OG0000329	0	0	0	14	1	2	0	1	2	20
OG0000330	3	2	2	4	1	3	2	1	1	19
OG0000331	2	2	0	7	5	3	0	0	0	19
OG0000332	1	1	5	4	1	2	2	2	1	19
OG0000333	4	4	1	5	1	1	1	1	1	19
OG0000334	3	3	1	9	1	1	0	1	0	19
OG0000335	2	2	1	5	4	2	1	1	1	19
OG0000336	1	1	0	12	1	1	2	0	1	19
OG0000337	2	2	2	6	2	2	1	1	1	19
OG0000338	3	3	1	3	2	2	2	2	1	19
OG0000339	3	4	0	4	2	4	0	2	0	19
OG0000340	2	2	5	3	2	2	0	3	0	19
OG0000341	2	2	1	8	2	2	0	1	1	19
OG0000342	3	3	1	4	1	0	4	2	1	19
OG0000343	4	4	0	6	2	0	0	1	2	19
OG0000344	2	2	2	2	2	2	3	1	3	19
OG0000345	3	3	0	4	3	2	0	2	2	19
OG0000346	1	1	1	8	1	3	2	1	1	19
OG0000347	2	2	1	6	1	2	2	1	2	19
OG0000348	2	2	2	9	1	1	1	1	0	19
OG0000349	2	2	2	3	2	2	1	3	2	19
OG0000350	2	2	1	3	3	3	3	1	1	19
OG0000351	1	1	1	9	1	1	2	2	1	19
OG0000352	2	2	1	4	2	3	2	1	2	19
OG0000353	2	2	2	5	2	2	1	2	1	19
OG0000354	1	1	3	7	1	3	1	2	0	19
OG0000355	2	2	3	5	2	2	1	1	1	19
OG0000356	3	2	0	7	6	1	0	0	0	19
OG0000357	2	2	0	4	5	5	0	1	0	19
OG0000358	2	2	1	12	1	1	0	0	0	19
OG0000359	2	2	3	2	2	1	2	2	3	19
OG0000360	2	1	1	10	1	1	1	1	1	19
OG0000361	1	1	3	6	2	2	1	1	2	19
OG0000362	2	2	1	8	2	1	1	1	1	19
OG0000363	1	1	0	14	1	1	0	0	1	19
OG0000364	2	2	2	10	1	2	0	0	0	19
OG0000365	2	2	1	9	2	1	0	1	1	19
OG0000366	1	1	4	3	3	2	0	1	4	19
OG0000367	3	3	0	2	1	2	2	2	4	19
OG0000368	1	1	0	9	5	3	0	0	0	19
OG0000369	1	1	0	9	1	4	1	1	1	19
OG0000370	2	2	4	8	0	1	0	2	0	19
OG0000371	2	3	0	12	1	1	0	0	0	19
OG0000372	1	1	0	9	5	2	0	0	1	19
OG0000373	2	1	0	9	2	5	0	0	0	19
OG0000374	1	1	1	13	1	1	0	1	0	19
OG0000375	1	1	1	8	2	2	1	1	2	19
OG0000376	1	1	1	8	2	4	0	1	1	19
OG0000377	1	1	1	8	4	1	0	2	1	19
OG0000378	1	1	2	5	4	1	0	1	4	19
OG0000379	0	0	4	11	1	2	0	1	0	19
OG0000380	0	0	1	11	1	2	2	1	1	19
OG0000381	0	0	0	8	7	3	1	0	0	19
OG0000382	2	3	0	12	1	0	0	0	0	18
OG0000383	2	2	2	4	2	2	1	2	1	18
OG0000384	1	1	1	9	1	2	1	1	1	18
OG0000385	1	1	2	7	1	2	2	1	1	18
OG0000386	1	1	0	12	1	2	0	0	1	18
OG0000387	1	1	1	10	1	1	1	1	1	18
OG0000388	2	2	1	2	2	2	3	2	2	18
